,judul berita,penerbit,sinopsis,link
10,Pendidikan Vokasi Ambil Bagian dalam Pekan Gastronomi Prancis,Direktorat Jenderal Vokasi,"Jakarta, Ditjen Vokasi - Sebagai negara prioritas dalam kerja sama pendidikan vokasi, Prancis turut mendukung peningkatan kualitas pendidikan vokasi di...1 menit yang lalu",https://vokasi.kemdikbud.go.id/read/b/pendidikan-vokasi-ambil-bagian-dalam-pekan-gastronomi-prancis&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgDEAI&usg=AOvVaw3SUu1v_S_VF9kkpsoINWiJ
11,Apa yang perlu ditingkatkan dari panduan pendidikan perubahan iklim?,The Conversation,"Akhir Agustus 2024 kemarin, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbudristek) melalui Badan Standar, Kurikulum,...1 jam yang lalu",https://theconversation.com/apa-yang-perlu-ditingkatkan-dari-panduan-pendidikan-perubahan-iklim-239317&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgJEAI&usg=AOvVaw0yM7Fbf603l3lEoK8OCNFe
12,Sosialisasi BSI Scholarship: Mendorong Generasi Muda untuk Meraih Pendidikan Berkualitas dan Berjiwa Kepemimpinan,Universitas Teuku Umar,"MEULABOH – UTU | Universitas Teuku Umar (UTU) hari ini menjadi saksi kesuksesan acara Sosialisasi BSI Scholarship, yang diadakan di Aula Cut...52 menit yang lalu",https://utu.ac.id/berita/sosialisasi-bsi-scholarship-mendorong-generasi-muda-untuk-meraih-pendidikan-berkualitas-dan-berjiwa-kepemimpinan/&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgCEAI&usg=AOvVaw0PCx3o-qxxccz4fOCdOIeC
13,Dunia apresiasi transformasi pendidikan Indonesia dalam GSVI 2024,ANTARA News,"Dunia melalui Organisasi Pendidikan, Ilmu Pengetahuan, dan Kebudayaan Perserikatan Bangsa-Bangsa (UNESCO) dan Dana Anak-Anak PBB (UNICEF)...1 hari lalu",https://www.antaranews.com/berita/4368235/dunia-apresiasi-transformasi-pendidikan-indonesia-dalam-gsvi-2024&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgAEAI&usg=AOvVaw3NQLgaIyubIYfFFRaRO_dl
14,Daya Group dan Universitas Pendidikan Indonesia Tandatangani Nota Kesepahaman,BERITA UPI,"Daya Group dan Universitas Pendidikan Indonesia (UPI) sepakat menandatangani Nota Kesepahaman tentang Kerja Sama di bidang Pendidikan,...2 hari lalu",https://berita.upi.edu/daya-group-dan-universitas-pendidikan-indonesia-tandatangani-nota-kesepahaman/&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgIEAI&usg=AOvVaw3whFGua9TWJv4n6oQML15z
15,"Perayaan Hari Guru 2024 Sedunia: Sejarah, Tema, dan Ragam Perayaan",detikcom,"Sabtu, 5 Oktober 2024 merupakan peringatan hari Guru Sedunia (World Teacher's Day). Sejarahnya seperti ini.5 jam yang lalu",https://www.detik.com/edu/detikpedia/d-7567873/perayaan-hari-guru-2024-sedunia-sejarah-tema-dan-ragam-perayaan&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgHEAI&usg=AOvVaw03jQxIksObYdir27VYMCB3
16,"Problematika Pendidikan Berkualitas di Indonesia, Semua Aku Diuangkan - Kompasiana.com",Kompasiana.com,"Pendidikan di Indonesia selalu menjadi subjek diskusi yang tak kunjung reda. Meskipun pendidikan diakui sebagai fondasi kemajuan bangsa,...2 jam yang lalu",https://www.kompasiana.com/gitayulia0139/66fc192ec925c478d21773a2/mau-nonton-film-bolehkah-sekali-saja-kumenangis-ini-yang-harus-kamu-tahu&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgBEAI&usg=AOvVaw14GvOIMCBr1_vGrm5tGrdP
17,Hari Anak KAJ Ajak Generasi Muda Peduli Ketimpangan Pendidikan di Indonesia,Liputan6.com,Sekjen Keuskupan Agung Jakarta (KAJ) Pastor Adi Prasojo mengatakan masalah pendidikan di Indonesia tidak hanya cukup dicermati dari sisi...10 jam yang lalu,https://www.liputan6.com/news/read/5719820/hari-anak-kaj-ajak-generasi-muda-peduli-ketimpangan-pendidikan-di-indonesia&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgFEAI&usg=AOvVaw2FoIaa_8g37Av4JgT7hlIR
18,"Kemendikbudristek Temukan 4 Kecurangan Penerima Beasiswa Pendidikan Indonesia, Diberi Sanksi",Medcom.id,"Jakarta: Kementerian Pendidikan, Kebudayaa, Riset, dan Teknologi (Kemendikbudristek) menemukan empat kecurangan yang dilakukan oleh penerima...5 jam yang lalu",https://www.medcom.id/pendidikan/news-pendidikan/Wb7Q7G0K-kemendikbudristek-temukan-4-kecurangan-penerima-beasiswa-pendidikan-indonesia-diberi-sanksi&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgEEAI&usg=AOvVaw2TpEHuHoqLLOTDExFgJM9J
19,Praktik Baik Transformasi Pendidikan Indonesia Menjadi Pembelajaran 20 Negara dan 9 Organisasi International,PAUDPEDIA,PAUDPEDIA — Keberhasilan Indonesia melewati krisis pembelajaran dimasa Pandemi Covid-19 serta pemangku kepentingan pendidikan nasional...2 hari lalu,https://paudpedia.kemdikbud.go.id/berita/praktik-baik-transformasi-pendidikan-indonesia-menjadi-pembelajaran-20-negara-dan-9-organisasi-international%3Fdo%3DMjE0NC04MzU1YjU3Nw%3D%3D%26ix%3DMTEtYmJkNjQ3YzA%3D&sa=U&ved=2ahUKEwi_iOvHne-IAxU2wjgGHd8ZHOM4ChDF9AF6BAgGEAI&usg=AOvVaw1aLFeoab-UHNfXc9k-R-gj
20,AIPNI gelar RTA perkuat pendidikan keperawatan menuju Indonesia emas,ANTARA News,Asosiasi Pendidikan Ners Indonesia (AIPNI) menggelar Rapat Tahunan Anggota (RTA) di Surabaya dari tanggal 1 hingga 3 Oktober 2024 untuk...20 jam yang lalu,https://www.antaranews.com/berita/4369503/aipni-gelar-rta-perkuat-pendidikan-keperawatan-menuju-indonesia-emas&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgAEAI&usg=AOvVaw1BlKMzF2Hpsk5Xt6lxkOIR
21,Menyala Guruku! 5 Negara Ini Tawarkan Beasiswa untuk Tenaga Pendidikan Indonesia,Medcom.id,"Jakarta: Sebagai tenaga pendidik di Indonesia, Sobat Medcom tentunya juga ingin dong mengembangkan karier dan kompetensi di luar negeri...2 jam yang lalu",https://www.medcom.id/pendidikan/news-pendidikan/yNLByAak-menyala-guruku-5-negara-ini-tawarkan-beasiswa-untuk-tenaga-pendidik-indonesia&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgJEAI&usg=AOvVaw3rOmGJUGIlBgdUhEL85mFq
22,Sistem Pengelolaan Pendidikan Tinggi di Indonesia Terbesar ke-4 di Dunia,ANTARA News,"Ekosistem itu dimasukkan dalam tiga masalah besar untuk tiga level berbeda, yaitu mahasiswa, fakultas, dan institusi pendidikan.6 jam yang lalu",https://www.antaranews.com/video/4369531/indonesia-tunjukkan-transformasi-pendidikan-lewat-wadah-digital&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgDEAI&usg=AOvVaw2aomZDBKOJjW6vly7wJt8i
23,Delegasi GSVI 2024 Berikan Solusi Tata Kelola Pendidikan Tinggi ke Indonesia,Medcom.id,Bali: UESCO dan UNICEF menunjuk Indonesia sebagai tuan rumah gelaran Gateways Study Visit Indonesia (GSVI) 2024.5 jam yang lalu,https://www.medcom.id/pendidikan/news-pendidikan/zNPlAEWN-sistem-pengelolaan-pendidikan-tinggi-di-indonesia-terbesar-ke-4-di-dunia&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgHEAI&usg=AOvVaw18GJKaKH15R-gaNmYYZSJo
24,Transformasi Pendidikan Indonesia Melalui Konsep Merdeka Belajar,Medcom.id,Temukan bagaimana Indonesia menerapkan konsep Merdeka Belajar dari Ki Hadjar Dewantara untuk transformasi pendidikan. Dapatkan wawasan tentang peningkatan...21 jam yang lalu,https://www.medcom.id/pendidikan/news-pendidikan/8N0LYEwN-delegasi-gsvi-2024-berikan-solusi-tata-kelola-pendidikan-tinggi-ke-indonesia&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgFEAI&usg=AOvVaw1Nrxihrl5lFaRS55I7vQMT
25,Indonesia Buka Ruang Diskusi Transformasi Pendidikan Sejumlah Negara,Borneonews,"KBRN, Jakarta: Indonesia akan membuka ruang diskusi untuk mendorong keberlanjutan transformasi pendidikan di sejumlah negara.2 hari lalu",https://www.borneonews.co.id/berita/385436-transformasi-pendidikan-indonesia-melalui-konsep-merdeka-belajar&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgBEAI&usg=AOvVaw1YJGDbx-0TRxWWJEokk_vF
26,Transformasi Pendidikan 2025: Kesejahteraan Guru dan Dosen Menjadi Prioritas,RRI.co.id,"Pemerintah mengukuhkan komitmennya terhadap pendidikan di tahun 2025 dengan menambah anggaran sebesar Rp10,4 triliun untuk kesejahteraan...2 hari lalu",https://www.rri.co.id/nasional/1012430/indonesia-buka-ruang-diskusi-transformasi-pendidikan-sejumlah-negara&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgCEAI&usg=AOvVaw0eT5jqbALzzt87CbxEDqch
27,"WINNER 2024 Perkuat Kolaborasi Indonesia-Belanda pada Bidang Pendidikan, Sains, dan Inovasi",Portal Informasi Indonesia,Jakarta - Humas BRIN. Gelaran Week of Indonesia-Netherlands Education and Research (WINNER) telah mencapai kali kelima di tahun 2024.1 hari lalu,https://indonesia.go.id/kategori/editorial/8652/transformasi-pendidikan-2025-kesejahteraan-guru-dan-dosen-menjadi-prioritas%3Flang%3D1&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgGEAI&usg=AOvVaw0IYZzIbhwHb_Tg_5_nYv7S
28,"Ini Latar Belakang Pendidikan Arini Subianto, Sosok Janda Terkaya Indonesia Berharta Rp20 Triliun",Badan Riset dan Inovasi Nasional,Latar belakang pendidikan Arini Subianto sosok janda terkaya Indonesia berharta Rp20 Triliun - Sekolah - Okezone Edukasi.8 jam yang lalu,https://www.brin.go.id/news/120885/winner-2024-perkuat-kolaborasi-indonesia-belanda-pada-bidang-pendidikan-sains-dan-inovasi&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgIEAI&usg=AOvVaw2pC8RpQPbNra3r9BHYDPvt
29,RI siap berbagi praktik baik transformasi pendidikan lewat GSVI 2024,edukasi.okezone.com,"Indonesia siap berbagi praktik baik dalam bidang transformasi pendidikan melalui ajang Gateways Study Visit Indonesia (GSVI) 2024,...2 hari lalu",https://edukasi.okezone.com/read/2024/10/02/624/3069909/ini-latar-belakang-pendidikan-arini-subianto-sosok-janda-terkaya-indonesia-berharta-rp20-triliun&sa=U&ved=2ahUKEwjigqXIne-IAxXbxzgGHWgfNog4FBDF9AF6BAgEEAI&usg=AOvVaw0VT1VIPE8ETpAyqmqKR6Oy
30,Dunia Pendidikan Indonesia: Raffi Ahmad dan Polemik Pemberian Gelar Guru Besar,ANTARA News,"Ramai isu pemberian gelar kepada Raffi Ahmad, survei menunjukkan sebanyak 50,5% masyarakat menganggap pemberian gelar untuk non-akademisi...1 hari lalu",https://www.antaranews.com/berita/4366043/ri-siap-berbagi-praktik-baik-transformasi-pendidikan-lewat-gsvi-2024&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgDEAI&usg=AOvVaw0yuG6zbmiCj9t5yMJdsDEq
31,Indonesia Pamerkan Transformasi Pendidikan Lewat Merdeka Belajar ke Mancanegara,GoodStats,"Indonesia memamerkan transformasi pendidikan di bawah Merdeka Belajar dalam konferensi internasional Gateways Study Visit Indonesia di Bali,...1 hari lalu",https://goodstats.id/article/raffi-ahmad-dan-polemik-pemberian-gelar-guru-besar-cR81e&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgJEAI&usg=AOvVaw3qtYNLsM4OG2rSUuRYzByi
32,Dugaan asusila guru di Gorontalo terhadap murid perempuan – ‘Dunia pendidikan sedang darurat kekerasan seksual’,detikcom,Dugaan tindak pidana kekerasan seksual yang dilakukan seorang guru terhadap muridnya di satuan pendidikan menengah agama (madrasah) di...4 hari lalu,https://www.detik.com/edu/sekolah/d-7565568/indonesia-pamerkan-transformasi-pendidikan-lewat-merdeka-belajar-ke-mancanegara&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgHEAI&usg=AOvVaw0BQ-Aco9a6hBcz_eK5GJ4F
33,UNICEF Sebut Indonesia Jadi Pemimpin Inisiatif Pendidikan Digital,BBC,Pendidikan digital di Indonesia dinilai telah mencapai skala yang sangat baik sebab terjadi secara luas dan berpengaruh.1 hari lalu,https://www.bbc.com/indonesia/articles/c4g5evj18nwo&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgCEAI&usg=AOvVaw2Q8lxhkr6Xh6bBgKVUnVYr
34,Indonesia Memasuki Paradigma Integralisasi Teknologi dalam Pengembangan Sistem Pendidikan,Medcom.id,"Bali: Dirjen Pendidikan Anak Usia Dini, Pendidikan Dasar, dan Pendidikan Menengah (PAUD Dikdasmen) Kemendikbudristek, Iwan Syahril,...1 hari lalu",https://www.medcom.id/pendidikan/news-pendidikan/9K5eG1nK-unicef-sebut-indonesia-jadi-pemimpin-inisiatif-pendidikan-digital&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgBEAI&usg=AOvVaw3TqFRquEOsKa_U8NWKT2EZ
35,Indonesia Bakal Bagikan Kunci Transformasi Pendidikan ke-20 Negara di GSVI 2024,Medcom.id,"Iwan menjelaskan dalam lima tahun terakhir, Indonesia telah mengembangkan berbagai platform dalam ekosistem pendidikan di bawah...2 hari lalu",https://www.medcom.id/pendidikan/news-pendidikan/8kozRxMb-indonesia-memasuki-paradigma-integralisasi-teknologi-dalam-pengembangan-sistem-pendidikan&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgAEAI&usg=AOvVaw3wq8KcnOzGYHpvwwuJ44iZ
36,UNICEF-UNESCO Tak Sabar Lihat Praktik Transformasi Digital Pendidikan Indonesia,Medcom.id,Jakarta: Sebanyak 56 perserta dari 20 negara dan 9 organisasi internasional bakal bertemu dalam gelaran Gateways Study Visit Indonesia...2 hari lalu,https://www.medcom.id/pendidikan/news-pendidikan/8kozRW3b-indonesia-bakal-bagikan-kunci-transformasi-pendidikan-ke-20-negara-di-gsvi-2024&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgEEAI&usg=AOvVaw0QiV7YTUD1gg918_cOC8Db
37,Team Teaching STIKI Malang: Diversifikasi Proses Pembelajaran untuk Pendidikan Berstandar Internasional,Medcom.id,"Dunia pendidikan yang terus berkembang, penting bagi perguruan tinggi untuk menjalin kolaborasi dengan universitas-universitas terkemuka...2 jam yang lalu",https://www.medcom.id/pendidikan/news-pendidikan/ZkeZJeZK-unicef-unesco-tak-sabar-lihat-praktik-transformasi-digital-pendidikan-indonesia&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgIEAI&usg=AOvVaw1NsZp5QOxvvHNhSX0kTdMC
38,"Rapat Tahunan AIPNI 2024, Membangun Pendidikan Keperawatan Menuju Indonesia Emas",TIMES Indonesia,"Surabaya, Bhirawa Asosiasi Pendidikan Ners Indonesia (AIPNI) menyelenggarakan kegiatan Rapat Tahunan Anggota di Hotel Shangri-la, Surabaya.18 jam yang lalu",https://timesindonesia.co.id/indonesia-positif/512640/team-teaching-stiki-malang-diversifikasi-proses-pembelajaran-untuk-pendidikan-berstandar-internasional&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgFEAI&usg=AOvVaw3KX3CS087xHP3kDVckUS2a
39,Kemendikbudristek Kenalkan Konsep Gotong Royong dalam Pembangunan Pendidikan Indonesia pada Delegasi di GSVI 2024,Harian Bhirawa,PT Reformasi Generasi Indonesia (REFO) menggelar Indonesia Future of Learning Summit (IFLS) 2024 dengan tujuan menciptakan masa depan...2 hari lalu,https://harianbhirawa.co.id/rapat-tahunan-aipni-2024-membangun-pendidikan-keperawatan-menuju-indonesia-emas/&sa=U&ved=2ahUKEwjRlMjIne-IAxWmzjgGHSZAA9o4HhDF9AF6BAgGEAI&usg=AOvVaw0_14V6ol30aULhOgaONWlW
40,REFO gelar IFLS ciptakan pendidikan berkualitas dengan manfaatkan AI,Medcom.id,"jatim.jpnn.com, SURABAYA - Asosiasi Pendidikan Ners Indonesia (AIPNI) menyelenggarakan Rapat Tahunan anggota selama tiga hari di Hotel...18 jam yang lalu",https://www.medcom.id/pendidikan/news-pendidikan/GNGzXRdK-kemendikbudristek-kenalkan-konsep-gotong-royong-dalam-pembangunan-pendidikan-indonesia-pada-delegasi-di-gsvi-2024&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgFEAI&usg=AOvVaw3ocVRsvvTKuxNbWlt1s6LJ
41,Rapat AIPNI 2024 Perkuat Pendidikan Keperawatan Menuju Indonesia Emas,ANTARA News,Praktik baik Indonesia dalam mengembangkan ekosistem teknologi pendidikan di dalam payung kebijakan Merdeka Belajar menjadi materi diskusi...1 hari lalu,https://www.antaranews.com/berita/4366231/refo-gelar-ifls-ciptakan-pendidikan-berkualitas-dengan-manfaatkan-ai&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgJEAI&usg=AOvVaw3sCiMC04HBK7aDDrE6tHyY
42,UNESCO: Transformasi Digital Pendidikan Indonesia Bisa Jadi Contoh Dunia,JPNN.com Jatim,"Kolaborasi ini sejalan dengan visi PosPay untuk mendukung generasi milenial dan Generasi Z, yang kelak akan menjadi pilar ekonomi Indonesia.1 hari lalu",https://jatim.jpnn.com/jatim-terkini/32469/rapat-aipni-2024-perkuat-pendidikan-keperawatan-menuju-indonesia-emas&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgDEAI&usg=AOvVaw1hlZ4CaEPwOhSrjo31CeUj
43,PosPay Dukung Pendidikan Indonesia Lewat Kolaborasi dengan Beasiswa OSC,Media Indonesia,"Seperti diyakini oleh UNESCO dan UNICEF, kehadiran platform dan konten digital akan membuka akses lebih luas terhadap pembelajaran...2 hari lalu",https://mediaindonesia.com/humaniora/705287/unesco-transformasi-digital-pendidikan-indonesia-bisa-jadi-contoh-dunia&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgIEAI&usg=AOvVaw21y_jSktTOFnaMc49Xojwn
44,Indonesia Siap Berbagi Kunci Transformasi Pendidikan,Medcom.id,"Pengalaman apa yang membuat Anda menjadi rindu bersekolah, atau, pengalaman apa yang membuat Anda kehilangan motivasi untuk bersekolah?17 jam yang lalu",https://www.medcom.id/pendidikan/berita-kampus/JKR54mOk-pospay-dukung-pendidikan-indonesia-lewat-kolaborasi-dengan-beasiswa-osc&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgCEAI&usg=AOvVaw1LaXBs-r-rRWaPXbjrdNqq
45,Refleksi Mata Kuliah Filosoofi pendidikan Indonesia - Kompasiana.com,VIVA Padang,Surabaya - Asosiasi Pendidikan Ners Indonesia (AIPNI) akan menggelar Rapat Tahunan Anggota yang mengusung tema “Penguatan Pendidikan Tinggi...19 jam yang lalu,https://padang.viva.co.id/ragam-perkara/4358-indonesia-siap-berbagi-kunci-transformasi-pendidikan&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgEEAI&usg=AOvVaw0Sfs-YD--6_Bd4Aboqa5tG
46,"Rapat Tahunan AIPNI 2024, Membangun Pendidikan Keperawatan Menuju Indonesia Emas - kumparan.com",Kompasiana.com,Artikel ini menyajikan data jumlah sekolah di Indonesia berdasarkan satuan pendidikan pada semester I tahun ajaran 2024/2025.24 jam yang lalu,https://www.kompasiana.com/pesertappg208566771/66fc1036c925c47ae975cfb2/refleksi-mata-kuliah-filosoofi-pendidikan-indonesia&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgBEAI&usg=AOvVaw0N4OqSxfDD5H2BSOxFGss2
47,Data Jumlah Sekolah di Indonesia Menurut Satuan Pendidikan pada Semester I Tahun Ajaran 2024/2025,Kumparan,"Alumni FEUI 1984 dan Karya Salemba Empat, Gelar Tanam 4000 pohon di 40 titik Se-Nusantara. Yayasan Alumni Ekonomi Salemba 84 (YAES 84) yang...6 hari lalu",https://kumparan.com/beritabojonegoro/rapat-tahunan-aipni-2024-membangun-pendidikan-keperawatan-menuju-indonesia-emas-23dHMJ2zWeb&sa=U&ved=2ahUKEwiovt7Ine-IAxUVSmwGHcqCGgw4KBDF9AF6BAgGEAI&usg=AOvVaw28UI13wJCwiQ40YwAyFzin
