"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1840066394848932228","Sun Sep 29 00:11:34 +0000 2024","1","@yourhunniess huhuh menyedihkan banget kayaknya emang pemerintah dan para pendidik serta orang tua harus lebih aware deh dengan edukasi pranikah","1840182595692441930","","yourhunniess","in","","0","0","0","https://x.com/baymoonse/status/1840182595692441930","1798942011510439936","baymoonse"
"1840180151130431632","Sun Sep 29 00:01:51 +0000 2024","0","ga sabar samata edukasi","1840180151130431632","","","in","","0","0","0","https://x.com/kintaneeya/status/1840180151130431632","1771560407305715712","kintaneeya"
"1840179863107580287","Sun Sep 29 00:00:45 +0000 2024","0","Aneh kan kalo ditulis 16 66..%. Buat kelas teori mungkin bisa tapi di umum belum ada edukasi angka begituan dengan pake zero tolerance .","1840179873765306590","","nobocilstory","in","7.775900’S;119.371036’E, 418 m","0","0","0","https://x.com/nobocilstory/status/1840179873765306590","214001879","nobocilstory"
"1840023730614829278","Sat Sep 28 23:36:11 +0000 2024","159","@nnabiyya @tanyarlfes Wkwkw yang cancel cuman femcels penggiat zinah kek lu. Kita bakal dukung dokter ini untuk bahan edukasi!","1840173692812419441","","nnabiyya","in","─ ","0","1","0","https://x.com/quesehra/status/1840173692812419441","985837649259675648","quesehra"
"1839985921980281038","Sat Sep 28 23:33:51 +0000 2024","0","@ErmansyahWendi Iya bner mas.yg BS terima Odhiv itu susah Krn mereka Kurang edukasi klu TDK semudah itu menular apalagi pasangan yg HIV+ hasil VL sdh unditec.insa Allah istri dan ank nya tdk akan https://t.co/wjK1pWVg5c mntan BF ku yg HIV + istri dan 2 ank nya negatif","1840173106058670274","","ErmansyahWendi","in","Tangerang, Banten","0","1","0","https://x.com/masput1073787/status/1840173106058670274","1736292604059557888","masput1073787"
"1840170627812209076","Sat Sep 28 23:29:13 +0000 2024","2","3. Bernyanyi atau Berjoget Bernyanyi atau berjoget bersama merupakan kegiatan ayah dan anak di dalam rumah yang seru. Putarlah lagu-lagu anak yang menarik dan mengandung makna edukasi bagi anak. Kemudian buatlah gerakan-gerakan yang mudah ditiru anak untuk melatih koordinasi","1840171940360925245","","Virusmusrik","in","T1k+","0","1","0","https://x.com/Virusmusrik/status/1840171940360925245","102684089","Virusmusrik"
"1840171306953912579","Sat Sep 28 23:26:42 +0000 2024","2033","Daftar YouTube channel untuk edukasi anak kamu https://t.co/zIMgRdJ5Gz","1840171306953912579","https://pbs.twimg.com/ext_tw_video_thumb/1840171219016134656/pu/img/_srZCt8-F6kUJR5N.jpg","","in","Indonesia","7","156","502","https://x.com/fotodakwah/status/1840171306953912579","105428309","fotodakwah"
"1840169763991105963","Sat Sep 28 23:20:35 +0000 2024","2","oot tapi gw suka bgt sama dr. amira ini... bener bener pengabdian seorang dokter ampe rela ke fakfak karena disana ga ada obgyn. lulusan s.ked trisakti dan ambil spesialis di unair no wonder lah ya... penyampaiannya juga enakk bener bener nekenin kalo dia lg ngasih edukasi","1840169763991105963","","","in","Leyden, The Netherlands","1","0","0","https://x.com/cruisedkidd/status/1840169763991105963","1479848969396129793","cruisedkidd"
"1839909424548458781","Sat Sep 28 23:12:23 +0000 2024","4","@DedynurPalakka Ga usah banyak bacot lu jelas RG dgn pemikirannya tetap betahan dan memberikan edukasi sm masyarakat dan dia seorg independen yg ttp dijalurnya... Jokowi ??? Pemimpin gagal yg bisa membawa negara ini terjun bebas tnp martabat...","1840167700586459315","","DedynurPalakka","in","in the heart that loves him 🍒","0","0","0","https://x.com/A1ki4_ku5_21/status/1840167700586459315","1258012718788784130","A1ki4_ku5_21"
"1840023730614829278","Sat Sep 28 22:59:35 +0000 2024","0","@dilahsyawal @tanyarlfes Bisa jadi memang separah itu kalo di daerah yang minim edukasi dan di bawah garis kemiskinan.. Ortu punya anak tanpa ilmu anak² menikah dini paling sedih kalo banyak pemerkosaan/grooming/pedofilia","1840164479084179658","","dilahsyawal","in","Surabaya, Indonesia","0","0","0","https://x.com/NyoenWulandari/status/1840164479084179658","145551687","NyoenWulandari"
